# no software pipelining (num_stages = 1)

GPU 0: NVIDIA B200 (UUID: GPU-ee9bcf2c-f61b-7b23-cbd4-61a3ffbbd540)

Softmax test passed!
softmax-performance:
          N  Triton (GB/s)  Torch (GB/s)  Naive Softmax (GB/s)
0     256.0     755.169643   1022.916057            265.035005
1     384.0    1022.434857   1283.140354            356.802414
2     512.0    1358.761671   1638.509261            427.846024
3     640.0    1467.467310   1734.646388            466.747545
4     768.0    1754.018081   2046.644400            543.844694
5     896.0    2044.746107   2320.521115            567.908173
6    1024.0    2335.891505   2395.027374            621.184758
7    1152.0    2302.124686   1854.907347            636.713003
8    1280.0    2555.903644   2011.354503            690.394956
9    1408.0    2806.671252   2046.098257            691.310261
10   1536.0    3049.668453   2116.336308            728.483801
11   1664.0    3104.527701   2216.818674            739.509351
12   1792.0    3198.222315   2379.471232            772.506785
13   1920.0    3408.679431   2419.481378            778.743115
14   2048.0    3574.530354   2520.044975            829.401974
15   2176.0    3163.562637   1633.304545            811.865215
16   2304.0    3337.007525   1697.984051            816.803605
17   2432.0    3396.098755   1768.690715            833.766041
18   2560.0    3409.361351   1861.316731            827.641588
19   2688.0    3580.664720   1940.263666            851.332282
20   2816.0    3746.052893   1994.518107            829.996606
21   2944.0    3794.406530   2047.646919            829.410043
22   3072.0    3799.204462   2136.237204            831.006889
23   3200.0    3935.437447   2048.335101            822.098434
24   3328.0    4077.959651   2129.467477            829.550172
25   3456.0    4085.884417   2198.138662            820.963136
26   3584.0    4096.338618   2218.319092            827.151137
27   3712.0    4238.706821   2284.740758            824.805245
28   3840.0    4369.539804   2363.432024            822.695056
29   3968.0    4299.800204   2403.195302            823.939932
30   4096.0    4373.271756   2428.451297            835.801776
31   4224.0    4190.240728   1568.621593            823.177932
32   4352.0    4381.194540   1587.473564            819.034960
33   4480.0    4477.928599   1627.221388            836.282116
34   4608.0    4532.749234   1673.867848            822.972471
35   4736.0    4673.463442   1689.314369            819.730860
36   4864.0    4693.736685   1726.091766            828.127353
