Softmax test passed!
[W804 21:59:07.594737201 CUDACachingAllocator.cpp:3933] memory allocation failed with OOM on device 0 while trying to allocate 142606336 bytes (free: 128253952, total: 33668988928).
[W804 21:59:17.647764950 CUDACachingAllocator.cpp:3933] memory allocation failed with OOM on device 0 while trying to allocate 201326592 bytes (free: 163905536, total: 33668988928).
softmax-performance:
          N  Triton (GB/s)  Torch (GB/s)  Naive Softmax (GB/s)
0     256.0     826.591641   1078.341085            334.403330
1     384.0    1227.652326   1295.473219            385.183352
2     512.0    1426.945044   1503.561223            465.263999
3     640.0    1443.245161   1470.827959            501.793279
4     768.0    1500.639502   1504.211966            532.180640
5     896.0    1228.994975   1540.708172            587.775704
6    1024.0    1230.893112   1567.753312            630.609231
7    1152.0    1290.737822   1436.466115            630.303718
8    1280.0    1346.374951   1447.537935            658.766429
9    1408.0    1338.192134   1411.508519            671.988684
10   1536.0    1343.131754   1432.345652            687.144867
11   1664.0    1431.915950   1413.672036            702.448895
12   1792.0    1411.140238   1390.977389            709.360006
13   1920.0    1420.806173   1429.306581            693.886251
14   2048.0    1431.973017   1466.566630            717.674340
15   2176.0    1334.712978   1226.930779            714.686288
16   2304.0    1354.216242   1329.271564            690.627780
17   2432.0    1387.732932   1293.551473            677.213557
18   2560.0    1402.733697   1344.556134            671.422821
19   2688.0    1369.680392   1410.322821            667.981472
20   2816.0    1392.306937   1390.360690            648.491188
21   2944.0    1392.802885   1380.100191            663.349204
22   3072.0    1340.223708   1450.337547            631.877443
23   3200.0    1394.194555   1426.846135            634.091678
24   3328.0    1369.074807   1426.301832            595.442969
25   3456.0    1412.923643   1401.695398            580.718391
26   3584.0    1401.284292   1423.285546            581.050580
27   3712.0    1387.783019   1464.789614            578.721658
28   3840.0    1399.045510   1459.456277            574.044470
29   3968.0    1390.232556   1477.111265            563.036651
30   4096.0    1399.993320   1487.330350            558.679651
31   4224.0    1418.066305   1473.899072            540.316720
32   4352.0    1422.078987   1482.104065            528.816371
33   4480.0    1426.269133   1494.585577            513.585934
34   4608.0    1413.760553   1488.812874            492.296136
35   4736.0    1405.092037   1486.362879            477.158212
36   4864.0    1410.266789   1492.852532            465.659068
37   4992.0    1432.358533   1480.869288            460.357355
38   5120.0    1404.244784   1482.561646            449.900534
39   5248.0    1414.418749   1463.563850            448.953930
40   5376.0    1411.133544   1482.344679            445.504633
41   5504.0    1423.457953   1493.415388            446.317392
42   5632.0    1411.380335   1491.276427            443.500667
43   5760.0    1421.898817   1494.417135            443.169787
44   5888.0    1420.937298   1489.909895            440.241901
45   6016.0    1437.595049   1492.283790            437.250828
46   6144.0    1404.953404   1506.729496            432.988776
47   6272.0    1414.246713   1486.961762            430.618514
48   6400.0    1422.839731   1506.148550            429.226377
49   6528.0    1430.799114   1497.766725            426.897087
50   6656.0    1411.594354   1494.488579            423.529692
51   6784.0    1421.034271   1507.103826            422.889056
52   6912.0    1418.628549   1502.728443            422.039230
53   7040.0    1429.967361   1502.541149            420.613508
54   7168.0    1420.088555   1499.180938            417.627769
55   7296.0    1424.496923   1492.663926            420.231500
56   7424.0    1426.279525   1484.455618            416.400577
57   7552.0    1433.458667   1483.718872            414.973250
58   7680.0    1428.028945   1497.279954            412.988209
59   7808.0    1433.361776   1501.336977            414.315807
60   7936.0    1428.488240   1503.092848            413.725464
61   8064.0    1435.780465   1495.393127            413.782152
62   8192.0    1434.090511   1494.532979            399.546888
63   8320.0    1428.153207   1511.019300            399.068806
64   8448.0    1426.704646   1502.302842            400.194795
65   8576.0    1441.584912   1502.190982            399.942006
66   8704.0    1430.903350   1520.626002            398.993359
67   8832.0    1447.103029   1508.548929            399.589467
68   8960.0    1435.639696   1509.126054            400.402854
69   9088.0    1452.946519   1506.462751            399.093626
70   9216.0    1449.205477   1503.291424            400.127598
71   9344.0    1453.993872   1490.116107            399.754502
72   9472.0    1451.395300   1494.738871            398.924483
73   9600.0    1458.280013   1500.000186            399.157250
74   9728.0    1448.852525   1501.335473            400.504889
75   9856.0    1446.584049   1498.723527            399.067512
76   9984.0    1453.656563   1500.933765            400.265636
77  10112.0    1460.404003   1504.228137            398.999711
78  10240.0    1456.632817   1496.691783            399.942960
79  10368.0    1454.842218   1499.099046            399.643602
80  10496.0    1458.452500   1506.007158            399.511690
81  10624.0    1456.378476   1497.251354            398.768560
82  10752.0    1461.658275   1498.507254            398.831955
83  10880.0    1462.458571   1508.228791            398.959935
84  11008.0    1459.089751   1500.392372            398.493725
85  11136.0    1464.212579   1500.382888            399.425385
86  11264.0    1457.977917   1497.390146            399.536527
87  11392.0    1473.326459   1502.905709            399.166695
88  11520.0    1464.667459   1502.965260            399.879188
89  11648.0    1471.943317   1508.436103            398.937760
90  11776.0    1466.809676   1501.695071            398.993213
91  11904.0    1470.866617   1498.298643            398.595875
92  12032.0    1474.169691   1503.760902            399.366032
93  12160.0    1476.451324   1505.060321            398.353048
94  12288.0    1477.069997   1500.645471            398.217012
95  12416.0    1479.981364   1503.187308            398.865372
96  12544.0    1476.858759   1500.120069            397.253973
97  12672.0    1470.078094   1504.562059            397.307286
